iter	Passed	Remaining
912	9588	913
913	9597	903
914	9605	892
915	9621	882
916	9628	871
917	9636	860
918	9642	849
919	9648	839
920	9662	828
921	9674	818
922	9684	807
923	9695	797
924	9702	786
925	9713	776
926	9722	765
927	9731	755
928	9740	744
929	9753	734
930	9764	723
931	9774	713
932	9786	702
933	9795	692
934	9805	681
935	9817	671
936	9830	660
937	9839	650
938	9849	639
939	9858	629
940	9870	618
941	9880	608
942	9893	598
943	9903	587
944	9911	576
945	9919	566
946	9932	555
947	9939	545
948	9948	534
949	9955	523
950	9964	513
951	9972	502
952	9982	492
953	9992	481
954	9999	471
955	10008	460
956	10014	449
957	10023	439
958	10030	428
959	10039	418
960	10047	407
961	10060	397
962	10069	386
963	10075	376
964	10083	365
965	10091	355
966	10099	344
967	10105	334
968	10112	323
969	10120	313
970	10127	302
971	10134	291
972	10141	281
973	10151	270
974	10158	260
975	10166	249
976	10173	239
977	10194	229
978	10200	218
979	10205	208
980	10228	198
981	10233	187
982	10241	177
983	10249	166
984	10256	156
985	10264	145
986	10271	135
987	10280	124
988	10287	114
989	10295	103
990	10302	93
991	10311	83
992	10318	72
993	10326	62
994	10335	51
995	10344	41
996	10353	31
997	10360	20
998	10367	10
999	10377	0
